WKT,name,description
"POLYGON ((17.7823854 59.7259289, 17.7825839 59.7257613, 17.782659 59.7257829, 17.7824766 59.7259533, 17.7823854 59.7259289))",End of the street
,
"POLYGON ((17.7834905 59.7258681, 17.7835012 59.7258438, 17.7843488 59.7259425, 17.7843407 59.7259655, 17.7834905 59.7258681))",Walkway to train
,
"POLYGON ((17.7877318 59.7259904, 17.7874904 59.7259607, 17.78778 59.7255523, 17.7880268 59.7255983, 17.7877318 59.7259904))",Systembolaget,
"POLYGON ((17.7904406 59.725457, 17.7909314 59.7248336, 17.7910414 59.7248633, 17.7905532 59.7254786, 17.7904406 59.725457))",Walking in parking
,
"POLYGON ((17.7815285 59.7263512, 17.7815621 59.7263167, 17.781605 59.7263303, 17.7816519 59.7263005, 17.7816734 59.7263059, 17.7817082 59.7262809, 17.7818531 59.7263228, 17.7817565 59.7264161, 17.7815285 59.7263512))",Home,
"POLYGON ((17.7944486 59.7224356, 17.7949958 59.7220299, 17.795264 59.7221273, 17.7946846 59.7225221, 17.7944486 59.7224356))",Polygon 8,
"POLYGON ((17.7920139 59.7243736, 17.7919683 59.7243547, 17.7922017 59.7241775, 17.7922553 59.7241897, 17.7920139 59.7243736))",Polygon 15,
"POLYGON ((17.8037168 59.7239902, 17.8037758 59.7238915, 17.8040534 59.7239415, 17.8039756 59.7240537, 17.8037168 59.7239902))",Polygon 9,
"POLYGON ((17.7998163 59.72649, 17.7998592 59.7265306, 17.7998243 59.7265441, 17.7997411 59.7265711, 17.7996419 59.7265779, 17.7995373 59.7265752, 17.7994595 59.7265671, 17.7993817 59.7265684, 17.7993066 59.7265671, 17.7992905 59.72654, 17.7993361 59.726536, 17.7994488 59.7265373, 17.79954 59.7265454, 17.7996204 59.7265495, 17.7997277 59.7265414, 17.7997948 59.7265211, 17.7998163 59.72649))",Polygon 10,
"POLYGON ((17.7997745 59.7245501, 17.7999636 59.7243757, 17.7999945 59.7243852, 17.799804 59.7245582, 17.7997745 59.7245501))",Polygon 11,
"POLYGON ((17.7906746 59.7247622, 17.7903581 59.7251354, 17.7899397 59.7250326, 17.790224 59.7246675, 17.7906746 59.7247622))",Polygon 11,
